scene	cue	follow	name	label	tracks	timer	soundintro	soundeval	soundround	soundtrack	soundsynth	rendering	colorset
preparation	0.10	0.15	register	0.10 register								0.00	
preparation	0.15	0.20	walkin	0.15 walkin								0.00	
preparation	0.20	0.40	field	0.20 field								0.20	
preparation	0.40	0.50	entrance	0.40 entrance							1	0.20	
preparation	0.50	1.10	black	0.50 black								0.50	
prolog	1.10	1.20	beginning	1.10 beginning								1.10	
prolog	1.20	1.30	prolog	1.20 prolog			prolog					1.20	
prolog	1.30	1.40	boot	1.30 boot			boot					1.30	
prolog	1.40	2.10	platforms	1.40 platforms							1	1.40	
polls	2.10	2.20	experimentstart	2.10 experimentstart			poll					2.10	
polls	2.20	3.05	poll	2.20 poll							1	2.20	
association	3.05	3.10	association_intro	3.05 association intro			association					3.05	
association	3.10	3.30	association_ruleset	3.10 association ruleset		Startround					1	3.10	
association	3.30	3.34	association_lab	3.30 association lab								3.30	
association	3.34	3.36	association_evalintro	3.34 association eval intro				1				3.34	
association	3.36	3.40	association_lineup	3.36 association lineup								3.36	
association	3.40	3.41	association_selection1	3.40 association selection 1								3.40	
association	3.41	3.42	association_selection1	3.41 association selection 2								3.41	
association	3.42	3.43	association_selection1	3.42 association selection 3								3.42	
association	3.43	3.44	association_profile1	3.43 association profile 1								3.43	
association	3.44	3.45	association_profile2	3.44 association profile 2								3.44	
association	3.45	4.00	association_profile3	3.45 association profile 3								3.45	
movement	4.00	4.05	movement_load	4.00 movement load	Resetscore							4.00	
movement	4.05	4.10	movement_intro	4.05 movement intro	Resetrecord		movement					4.05	
movement	4.10	4.12	movement_ruleset	4.10 movement ruleset		Startround						4.10	
movement	4.12	4.14	movement_plateau1	4.12 movement plateau 1								4.12	
movement	4.14	4.30	movement_plateau2	4.14 movement plateau 2								4.14	
movement	4.20	4.30	movement_conform	4.20 movement conform	Capturehighscore	Stopround			conformbehavior			4.20	
movement	4.25	4.30	movement_rebel	4.25 movement rebel	Capturehighscore	Stopround			rebelbehavior			4.25	
movement	4.30	4.34	movement_lab	4.30 movement lab	Unfreezesilent							4.30	
movement	4.34	4.36	movement_evalintro	4.34 movement eval intro				1				4.34	
movement	4.36	4.40	movement_lineup	4.36 movement lineup								4.36	
movement	4.40	4.43	movement_profilegroup	4.40 movement profile group								4.40	
movement	4.43	4.44	movement_profilebest	4.43 movement profile best								4.43	
movement	4.44	4.45	movement_profileworst	4.44 movement profile worst								4.44	
movement	4.45	5.00	movement_profilemiddle	4.45 movement profile middle								4.45	
distance	5.00		distance_load	5.0 distance load	Resetscore							5.00	
distance	5.05		distance_intro	5.05 distance intro	Resetrecord		distance					5.05	
distance	5.10		distance_ruleset	5.10 distance ruleset		Startround						5.10	
distance	5.12		distance_plateau1	5.12 distance plateau 1								5.12	
distance	5.14		distance_plateau2	5.14 distance plateau 2								5.14	
distance	5.20		distance_conform	5.20 distance conform	Capturehighscore	Stopround			conformbehavior			5.20	
distance	5.25		distance_rebel	5.25 distance rebel	Capturehighscore	Stopround			rebelbehavior			5.25	
distance	5.30		distance_lab	5.30 distance lab								5.30	
distance	5.34		distance_evalintro	5.34 distance eval intro				1				5.34	
distance	5.36		distance_lineup	5.36 distance lineup								5.36	
distance	5.40		distance_profilegroup	5.40 distance profile group								5.40	
distance	5.43		distance_profilebest	5.43 distance profile best								5.43	
distance	5.44		distance_profileworst	5.44 distance profile worst								5.44	
distance	5.45		distance_profilemiddle	5.45 distance profile middle								5.45	
prediction	6.00		prediction_load	6.00 prediction load	Resetscore							6.00	
prediction	6.05		prediction_intro	6.05 prediction intro	Resetrecord		prediction					6.05	
prediction	6.10		prediction_ruleset	6.10 prediction ruleset		Startround						6.10	
prediction	6.16		prediction_countdown	6.16 prediction countdown		Roundcuepoint						6.16	
prediction	6.20		prediction_conform	6.20 prediction_conform								6.20	
prediction	6.25		prediction_rebel	6.25 prediction_rebel								6.25	
prediction	6.30		prediction_lab	6.30 prediction_lab								6.30	
prediction	6.34		prediction_evalintro	6.34 prediction_evalintro				1				6.34	
prediction	6.36		prediction_lineup	6.36 prediction_lineup								6.36	
prediction	6.40		prediction_profilebest	6.40 prediction_profilebest								6.40	
prediction	6.41		prediction_profileworst	6.41prediction_profileworst								6.41	
													
