"Identifier","Question","yes","no"
"guest1","Ist ein Leben ohne Digitalisierung, Medienkonsum und soziale Medien überhaupt noch möglich?","0","0"
"guest2","Ist der Mensch nur eine komplexe Maschine, die komplett berechenbar ist?","0","0"
"guest3","Führt Digitalisierung zu einer ausgeprägteren emotionalen Intelligenz in der  Gesellschaft?","0","0"
"guest4","Hast du schon mal ein Fake Profil erstellt?","0","0"
"guest5","Folgst du Vorhersagen, weil die Recommendation Systeme immer besser werden?","0","0"
"guest6","Kann Digitalisierung zu mehr Nachhaltigkeit beitragen?","0","0"
"guest7","Gibt es unsichtbare Herrschaftsstrukturen im Internet?","0","0"
"guest8","Orientiert sich die Digitalisierung an den Bedürfnissen der Menschen?","0","0"
"guest9","Ist es möglich unsere Daten sicherer zu machen?","0","0"
"guest10","Nutzt du eine App, die Informationen zu deinem Körper sammelt?","0","0"
